PatternID,Text,Cause,Effect
95,Dissolved fertilizer causes too much growth of water plants and algae. This can lead to dead zones where nothing can live in lakes and at the mouths of rivers. Some of the chemicals can infiltrate into groundwater.,Dissolved fertilizer causes too much growth of water plants and algae,dead zones
15,"The contaminated water comes up in water wells. If people drink the polluted water, they may get sick. Waste from livestock can also pollute water.",people drink the polluted water,they may get sick .
0,Leaks may not be noticed until a lot of oil has soaked into the ground. The oil may pollute groundwater so it is no longer fit to drink. ,The oil may pollute groundwater,it is no longer fit to drink .
44,Municipal refers to the community. Households and businesses in a community are also responsible for polluting the water supply. For example: People apply chemicals to their lawns.,polluting the water supply,Households and businesses in a community are also responsible
76,Treating water for other purposes may not include all the same steps. Thats because water used in agriculture or industry may not have to be as clean as drinking water. You can see how water for drinking is treated in Figure 21.18.,water used in agriculture or industry may not have to be as clean as drinking water .,water for other purposes may not include all the same steps . Thats
14,"For example, communities may ban lawn watering and car washing. People may be fined if they use water in these ways. You can do your part.",they use water in these ways .,People may be fined
82,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",The river was so polluted,it was flammable .
86," Disasters such as rivers burning led to new U.S. laws to protect the water. For example, the Environmental Protection Agency (EPA) was established, and the Clean Water Act was passed.",Disasters such as rivers burning,new U.S. laws to protect the water .
5,"It limits what can be released into the air. As a result, the air in the U.S. is much cleaner now than it was 50 years ago. But air pollution has not gone away.",It limits what can be released into the air,the air in the U.S. is much cleaner now than it was 50 years ago .
82,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",The air became so polluted,thousands of people died in just a few days .
76,"Levels of VOCs are often higher indoors than out. Thats because they are released by products such as paints, cleaning solutions, and building materials. How might you reduce your exposure to VOCs?","they are released by products such as paints , cleaning solutions , and building materials .",Levels of VOCs are often higher indoors than out . Thats
76,"The pH of normal rain is 5.6. Its slightly acidic because carbon dioxide in the air dissolves in rain. This forms carbonic acid, a weak acid.",carbon dioxide in the air dissolves in rain .,pH of normal rain is 5.6 . Its slightly acidic
15,"CFCs are stable compounds that can remain in the atmosphere for hundreds of years. Once CFCs are in the air, they float up into the stratosphere. What happens next is shown in Figure 22.12.",CFCs are in the air,they float up into the stratosphere .
5,"More UV rays also harm plants and phytoplankton. As a result, they produce less food. This may affect entire ecosystems.",More UV rays also harm plants and phytoplankton,they produce less food .
14,"Plants such as trees, which normally live a long time, are most affected. Entire forests may die out if ozone levels are very high. Other plants, including crop plants, may also be damaged by ozone.",ozone levels are very high .,Entire forests may die out
94,Particulates block sunlight from reaching Earths surface. This means there is less energy for photosynthesis. Less photosynthesis means that plants and phytoplankton produce less food.,Particulates block sunlight from reaching Earths surface,there
80,Bioaccumulation is illustrated in Figure 22.8. As heavy metals are passed up a food chain they accumulate. Imagine a low-level consumer eating a producer.,heavy metals are passed up a food chain they accumulate .,Bioaccumulation is illustrated in Figure 22.8 .
76,Unborn babies and young children are most affected. Thats because their organs are still developing. ,their organs are still developing .,babies and young children are most affected . Thats
0,"CO is deadly to people in a confined space, such as a closed home. Carbon monoxide is odorless and colorless, so people cant tell when they are breathing it. Thats why homes should have carbon monoxide detectors.",Carbon monoxide is odorless and colorless,people cant tell when they are breathing it .
44," There are two basic types of strategies for reducing pollution from fossil fuels: 1. Use less fossil fuel to begin with. 2. When fossil fuels must be used, prevent the pollution from entering the air.",reducing pollution from fossil fuels,There are two basic types of strategies
5,"These cars use gas only as a backup fuel. As a result, they produce just 10 percent of the air pollution produced by cars that run only on gas. Cars that run on hydrogen and produce no pollution at all have also been developed (see Figure 22.14).",These cars use gas only as a backup fuel,they produce just 10 percent of the air pollution produced by cars that run only on gas .
15,"In a cap-and-trade system, each nation is given a cap, or upper limit, on carbon dioxide emissions. If a nation needs to go over its cap, it can trade with another nation that is below its cap. Figure 22.16 shows how this works.",a nation needs to go over its cap,it can trade with another nation that is below its cap .
140,"The Kyoto Protocol has not been as successful as the Montreal Protocol. One reason is that the worlds biggest producer of greenhouse gases, the U.S., did not sign the Kyoto Protocol. Of the nations that signed it, few are","the worlds biggest producer of greenhouse gases , the U.S. , did not sign the Kyoto Protocol .",The Kyoto Protocol has not been as successful as the Montreal Protocol
29,"By 1995, few CFCs were still being used. But the ozone hole kept growing for several years after that because of the CFCs already in the atmosphere. It peaked in 2006.",But the ozone hole kept growing for several years after that,already in the atmosphere . It peaked in 2006
79,"It peaked in 2006. Since then, it has been somewhat smaller. ","then , it has been somewhat smaller .",It peaked in 2006 .
82,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,Stars were so important,the patterns they made in the sky were named .
80,"As wavelength increases, frequency decreases. This means that as wavelengths get shorter, more waves move past a particular spot in the same amount of time. ","wavelengths get shorter , more waves move past a particular spot in the same amount of time .",This means that
14,Imagine this: Today you can see all of the things Galileo saw using a good pair of binoculars. You can see sunspots if you have special filters on the lenses. (Never look directly at the Sun without using the proper filters!),you have special filters on the lenses .,You can see sunspots
77,This allows them to collect a wide variety of data. The data is fed into computers so that it can be studied. An astronomer may take weeks to analyze all of the data collected from just a single night!,The data is fed into computers,it can be studied .
14,The sinkhole formed when water flowing underground dissolved the limestone. This telescope would collapse under its own weight if it were not supported by the ground. There is a big disadvantage to this design.,it were not supported by the ground .,This telescope would collapse under its own weight
0,"Many observatories are built on high mountains. There is less air above the telescope, so there is less interference from the atmosphere. Space telescopes avoid such problems completely since they orbit outside the atmosphere.",There is less air above the telescope,there is less interference from the atmosphere .
79,"There is less air above the telescope, so there is less interference from the atmosphere. Space telescopes avoid such problems completely since they orbit outside the atmosphere. The Hubble Space Telescope is the best known space telescope.",they orbit outside the atmosphere .,telescopes avoid such problems completely
79,Hubble began operations in 1994. Since then it has provided huge amounts of data. The telescope has helped astronomers answer many of the biggest questions in astronomy.,then it has provided huge amounts of data .,Hubble began operations in 1994 .
76,The mirrors in a reflecting telescope are much lighter than the heavy glass lenses in a refractor. This is important because a refracting telescope must be much stronger to support the heavy glass. Its much easier to precisely make mirrors than to precisely make glass lenses.,a refracting telescope must be much stronger to support the heavy glass .,This is important
17,"Its much easier to precisely make mirrors than to precisely make glass lenses. For that reason, reflectors can be made larger than refractors. Larger telescopes can collect more light.",Its much easier to precisely make mirrors than to precisely make glass lenses,reflectors can be made larger than refractors .
82,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.","Even at that amazing rate , objects in space are so far away",it takes a lot of time for their light to reach us .
80,When you see an image of the galaxy what are you seeing? You are seeing the galaxy as it was 2.5 million years ago! Since scientists can look back in time they can better understand the Universes history.,it was 2.5 million years ago !,You are seeing the galaxy
0," We need a really big unit to measure distances out in space because distances between stars are so great. A light- year, 9.5 trillion kilometers (5.9 trillion miles), is the distance that light travels in one year.",We need a really big unit to measure distances out in space because distances between stars are,"great . A light - year , 9.5 trillion kilometers -LRB- 5.9 trillion miles -RRB- , is the distance that light travels in one"
94,"This near neighbor is 4.22 light-years away. That means the light from Proxima Centauri takes 4.22 years to reach us. Our galaxy, the Milky Way Galaxy, is about 100,000 light-years across.",This near neighbor is 4.22 light-years away,the light from Proxima Centauri
0,"Our galaxy, the Milky Way Galaxy, is about 100,000 light-years across. So it takes light 100,000 years to travel from one side of the galaxy to the other! It turns out that even 100,000 light years is a short distance.","Our galaxy , the Milky Way Galaxy , is about 100,000 light-years across","it takes light 100,000 years to travel from one side of the galaxy to the other !"
59,"Sputnik 1, shown in Figure 23.20, sent out radio signals, which were detected by scientists and amateur radio operators around the world. The satellite stayed in orbit for about 3 months, until it burned up as a result of friction with Earths atmosphere. The launch of Sputnik 1 started the Space Race between the USSR and the USA.",friction with Earths atmosphere,"The satellite stayed in orbit for about 3 months , until it burned up"
81,"On April 12, 1961, a Soviet cosmonaut became the first human in space and in orbit. Less than one month later May 5, 1961 the U.S. sent its first astronaut into space: Alan Shepherd. The first American in orbit was John Glenn, in February 1962.","Less than one month later May 5 , 1961",the U.S. sent its first astronaut into space : Alan Shepherd
95,"Around the turn of the 20th century, several breakthroughs took place. These breakthroughs led to rockets that could travel beyond Earth. Liquid fuel gave rockets enough power to escape Earths gravity (Figure 23.14).","Around the turn of the 20th century , several breakthroughs took place",rockets that could travel beyond Earth
67,"Liquid fuel gave rockets enough power to escape Earths gravity (Figure 23.14). By using multiple stages, empty fuel containers could drop away. This reduced the mass of the rocket so that it could fly higher.",using multiple stages,", empty fuel containers could drop away ."
77,"By using multiple stages, empty fuel containers could drop away. This reduced the mass of the rocket so that it could fly higher. Rockets were used during World War II.",This reduced the mass of the rocket,it could fly higher .
72,Why do satellites stay in orbit? Why dont they crash into Earth due to the planets gravity? Newtons law of universal gravitation describes what happens.,the planets gravity,Why dont they crash into Earth
15,"Imagine a cannonball launched from a high mountain, as shown in Figure 23.17. If the cannonball is launched at a slow speed, it will fall back to Earth. This is shown as paths (A) and (B).",the cannonball is launched at a slow speed,it will fall back to Earth .
14,This is shown as paths (A) and (B). Something different happens if the cannonball is launched at a fast speed. The Earth below curves away at the same rate that the cannonball falls.,the cannonball is launched at a fast speed .,Something different happens
15,"The cannonball then goes into a circular orbit, as in path (C). If the cannonball is launched even faster, it could go into an elliptical orbit (D). It might even leave Earths gravity and go into space (E).",the cannonball is launched even faster,it could go into an elliptical orbit -LRB- D -RRB- .
77,Imaging and weather satellites need this type of view. Satellite may be placed so that they orbit at the same rate the Earth spins. The satellite then remains over the same location on the surface.,Satellite may be placed,they orbit at the same rate the Earth spins .
68,"A space probe is an unmanned spacecraft. The craft collects data by flying near or landing on an object in space. This could be a planet, moon, asteroid, or comet.",flying near or landing on an object in space,The craft collects data
0,"On May 25, 1961, President John F. Kennedy challenged the U.S. Congress: I believe that this nation should commit itself to achieving the goal, before this decade is out, of landing a man on the Moon and returning him back safely to the Earth. No single space project in this period will be more impressive to mankind, or more important for the long-range exploration of space; and none will be so difficult or expensive to accomplish. The Soviets were also trying to reach the Moon.","No single space project in this period will be more impressive to mankind , or more important for the long-range exploration of space ; and none will be",difficult or expensive to accomplish .
80,"The tile was part of the shuttles heat shield. The shield protects the shuttle from extremely high temperatures as it reenters the atmosphere. When Columbia returned to Earth on February 3, 2003, it could not withstand the high temperatures.",it reenters the atmosphere .,The shield protects the shuttle from extremely high temperatures
80,"Orion will replace the shuttle. Known as a Crew Exploration Vehicle, Orion is expected to be ready by 2016. ","a Crew Exploration Vehicle , Orion is expected to be ready by 2016 .",Orion will replace the shuttle . Known
80,"At the end of the mission, the orbiter re-enters Earths atmosphere. The outside heats up as it descends. Pilots have to steer the shuttle to the runway very precisely.",it descends .,The outside heats up
76,"The primary purpose of the station is scientific research. This is important because the station has a microgravity environment. Experiments are done in the fields of biology, chemistry, physics, physiology and medicine.",the station has a microgravity environment .,This is important
44,"Skylab was used to study the effects of staying in space for long period. Devices on board were and for studying the Sun. Skylab reentered Earths atmosphere in 1979, sooner than expected.",studying the Sun,Devices on board were and
15,"The side facing away from the Sun is dark. If you look at Earth from the North Pole, the planet spins counterclockwise. As the Earth rotates, you see the Sun moving across the sky from east to west.",you look at Earth from the North Pole,the planet spins counterclockwise .
80,"If you look at Earth from the North Pole, the planet spins counterclockwise. As the Earth rotates, you see the Sun moving across the sky from east to west. We often say that the Sun is rising or setting.","the Earth rotates , you see the Sun moving across the sky from east to west .","If you look at Earth from the North Pole , the planet spins counterclockwise ."
80,"Earths rotation is also responsible for this too. As Earth turns, the Moon and stars change position in the sky. ","Earth turns , the Moon and stars change position in the sky .",Earths rotation is also responsible for this too .
80,"The Earth is tilted 23 1/2 on its axis (Figure 24.10). This means that as the Earth rotates, one hemisphere has longer days with shorter nights. At the same time the other hemisphere has shorter days and longer nights.","the Earth rotates , one hemisphere has longer days with shorter nights .",This means that
76,"This means that the Southern Hemisphere experiences its longest night and shortest day (Figure 24.11). The hemisphere that is tilted away from the Sun is cooler because it receives less direct rays. As Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall.",it receives less direct rays .,The hemisphere that is tilted away from the Sun is cooler
80,"The hemisphere that is tilted away from the Sun is cooler because it receives less direct rays. As Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall. The Southern Hemisphere does the opposite from summer to fall to winter to spring.","Earth orbits the Sun , the Northern Hemisphere goes from winter to spring , then summer and fall .",The hemisphere that is tilted away from the Sun is cooler because it receives less direct rays .
80,"Rotation is what a top does around its spindle. As Earth spins on its axis, it also orbits around the Sun. This is called Earths revolution.","Earth spins on its axis , it also orbits around the Sun .",Rotation is what a top does around its spindle .
95,"This is called Earths revolution. These motions lead to the cycles we see. Day and night, seasons, and the tides are caused by Earths motions.",This is called Earths revolution,the cycles we see
80,"The weight swung back and forth in a straight line. If Earth did not rotate, the pendulum would not change direction as it was swinging. But it did, or at least it appeared to.",it was swinging .,"If Earth did not rotate , the pendulum would not change direction"
15,"The weight swung back and forth in a straight line. If Earth did not rotate, the pendulum would not change direction as it was swinging. But it did, or at least it appeared to.",Earth did not rotate,the pendulum would not change direction
76,"But it did, or at least it appeared to. The direction of the pendulum appeared to change because Earth rotated beneath it. Figure 24.9 shows how this might look.",Earth rotated beneath it .,The direction of the pendulum appeared to change
15,"Earths magnetic field shields us from harmful radiation from the Sun (Figure 24.7). If you have a large bar magnet, you can hang it from a string. Then watch as it aligns itself in a north-south direction, in response to Earths magnetic field.",you have a large bar magnet,you can hang it from a string .
80,"If you have a large bar magnet, you can hang it from a string. Then watch as it aligns itself in a north-south direction, in response to Earths magnetic field. A compass needle also aligns with Earths magnetic field.","it aligns itself in a north-south direction , in response to Earths magnetic field .","If you have a large bar magnet , you can hang it from a string . Then watch"
68,A compass needle also aligns with Earths magnetic field. People can navigate by finding magnetic north (Figure 24.8). ,finding magnetic north -LRB- Figure 24.8 -RRB-,People can navigate
14,The bottom part of the ship disappears faster than the top part. What would that ship look like if Earth was flat? No part of it would disappear before the other.,Earth was flat ?,would that ship look like
80,"No part of it would disappear before the other. It would all just get smaller as it moved further away. In the solar system, the planets orbit around the Sun.",it moved further away .,It would all just get smaller
80,Earths atmosphere has oxygen. The water and oxygen are crucial to life as we know it. Earth appears to be the only planet in the solar system with living creatures.,we know it .,The water and oxygen are crucial to life
78,"You can learn more about the planets in the Our Solar System chapter. Some of the different parts of the Earth are our: Since Earth is round, the layers all have the word sphere at the end (Figure 24.3).",Earth is,the layers all have the word sphere at the
1,"All of Earths layers interact. Therefore, Earths surface is constantly undergoing change. ",All of Earths layers interact,Earths surface is constantly undergoing change .
29,That is equal to one year. The Earth stays in orbit around the Sun because of the Suns gravity (Figure 24.12). Earths orbit is not a circle.,The Earth stays in orbit around the Sun,. Earths orbit is not a circle
0,"It is somewhat elliptical. So as we travel around the Sun, sometimes we are a little farther away from the Sun. Sometimes we are closer to the Sun.",It is somewhat elliptical,"as we travel around the Sun , sometimes we are a little farther away from the Sun ."
112,"Thats not true! The seasons are due to the tilt of Earths axis, as discussed above. ","the tilt of Earths axis , as discussed above .",The seasons
0,"There are no lakes, rivers, or even small puddles anywhere to be found on the Moons surface. So there is no running water and no atmosphere. This means that there is no erosion.","There are no lakes , rivers , or even small puddles anywhere to be found on the Moons surface",there is no running water and no atmosphere .
0,Temperatures are extreme. So it comes as no surprise that there has not been evidence of life on the Moon. ,Temperatures are extreme,it comes as no surprise that there has not been evidence of life on the Moon .
76,The rock that makes up the highlands is lighter in color and crystallized more slowly than the maria. The rock looks light because it reflects more of the Suns light. ,it reflects more of the Suns light .,The rock looks light
15,"Gravity on the Moon is only one-sixth as strong as it is on Earth. If you weigh 120 pounds on Earth, you would only weigh 20 pounds on the Moon. You can jump six times as high on the Moon as you can on Earth.",you weigh 120 pounds on Earth,you would only weigh 20 pounds on the Moon .
94,The Moon rotates on its axis once for every orbit it makes around the Earth. What does this mean? This means that the same side of the Moon always faces Earth.,What does,This
75,"The craters are bowl-shaped basins on the Moons surface. Because the Moon has no water, wind, or weather, the craters remain unchanged. The Moons coldest temperatures are found deep in the craters.",the Moon has no water,"wind , or weather , the craters remain unchanged ."
75,"Astronauts footprints are now on the Moon. They will remain unchanged for thousands of years, because there is no wind, rain, or living thing to disturb them. Only a falling meteorite could destroy them.",there is no wind,"rain , or living thing to disturb them ."
75,"Plasma is superheated gas with an electrical charge. Because the Sun is made of gases, it does not have a defined outer boundary. Like Earth, the Sun has an internal structure.",the Sun is made of gases,it does not have a defined outer boundary .
76,Then the number returns to a minimum again. Sunspots form because loops of the Suns magnetic field break through the surface. Sunspots usually occur in pairs.,loops of the Suns magnetic field break through the surface .,Sunspots form
80,"It only reflects light from the Sun. As the Moon moves around the Earth, we see different parts of the Moon lit up by the Sun. This causes the phases of the Moon.","the Moon moves around the Earth , we see different parts of the Moon lit up by the Sun .",It only reflects light from the Sun .
80,"This causes the phases of the Moon. As the Moon revolves around Earth, it changes from fully lit to completely dark and back again. A full moon occurs when the whole side facing Earth is lit.","the Moon revolves around Earth , it changes from fully lit to completely dark and back again .",This causes the phases of the Moon .
0,"About one week later, the Moon enters the quarter-moon phase. Only half of the Moons lit surface is visible from Earth, so it appears as a half circle. When the Moon moves between Earth and the Sun, the side facing Earth is completely dark.",Only half of the Moons lit surface is visible from Earth,it appears as a half circle .
100,Sometimes you can just barely make out the outline of the new moon in the sky. This is because some sunlight reflects off the Earth and hits the Moon. Before and after the quarter-moon phases are the gibbous and crescent phases.,some sunlight reflects off the Earth and hits the Moon .,Sometimes you can just barely make out the outline of the new moon in the sky
78,"When the Moon passes through Earths penumbra, it is a penumbral eclipse. Since Earths shadow is large, a lunar eclipse lasts for hours. Anyone with a view of the Moon can see a lunar eclipse.",Earths shadow is large,a lunar eclipse lasts for
15,"When the Moons shadow completely blocks the Sun, it is a total solar eclipse (Figure 24.21). If only part of the Sun is out of view, it is a partial solar eclipse. Solar eclipses are rare events.",only part of the Sun is out of view,it is a partial solar eclipse .
100,They usually only last a few minutes. That is because the Moons shadow only covers a very small area on Earth and Earth is turning very rapidly. Solar eclipses are amazing to experience.,the Moons shadow only covers a very small area on Earth and Earth is turning very rapidly .,They usually only last a few minutes
80,It appears like night only strange. Birds may sing as they do at dusk. Stars become visible in the sky,they do at dusk .,Birds may sing
0,"Unlike at night, the Sun is out. So during a solar eclipse, its easy to see the Suns corona and solar prominences. This NASA page will inform you on when solar eclipses are expected: http://eclipse.gsfc.nasa.gov/solar.html","Unlike at night , the Sun is out","during a solar eclipse , its easy to see the Suns corona and solar prominences ."
76,"We call these planets extrasolar planets, or exoplanets. They are called exoplanets because they orbit a star other than the Sun. As of June 2013, 891 exoplanets have been found.",they orbit a star other than the Sun .,They are called exoplanets
80,"They are called exoplanets because they orbit a star other than the Sun. As of June 2013, 891 exoplanets have been found. More exoplanets are found all the time.","of June 2013 , 891 exoplanets have been found .",They are called exoplanets because they orbit a star other than the Sun .
29,We have been able to take pictures of only a few exoplanets. Most are discovered because of some tell-tale signs. One sign is a very slight motion of a star that must be caused by the pull of a planet.,Most are discovered,. One sign is a very slight motion of a star that must be caused by the pull of a planet
80,One sign is a very slight motion of a star that must be caused by the pull of a planet. Another sign is the partial dimming of a stars light as the planet passes in front of it. ,the planet passes in front of it .,Another sign is the partial dimming of a stars light
80,"Gravity caused the nebula to contract (Figure 25.6). As the nebula contracted, it started to spin. As it got smaller and smaller, it spun faster and faster.","the nebula contracted , it started to spin .",Gravity caused the nebula to contract -LRB- Figure 25.6 -RRB- .
80,"As the nebula contracted, it started to spin. As it got smaller and smaller, it spun faster and faster. This is what happens when an ice skater pulls her arms to her sides during a spin move.","it got smaller and smaller , it spun faster and faster .","As the nebula contracted , it started to spin ."
0,"Hydrogen, helium, water, ammonia, and methane were among them. Its so cold by Jupiter and beyond that these materials can form solid particles. Closer to the Sun, they are gases.",", helium , water , ammonia , and methane were among them . Its",cold by Jupiter and beyond that these materials can form solid particles .
78,"Closer to the Sun, they are gases. Since the gases can escape, the inner planets Mercury, Venus, Earth, and Mars formed from denser elements. These elements are solid even when close to the Sun.",the gases can escape,"the inner planets Mercury , Venus , Earth , and Mars formed from denser elements ."
76,That force is far too weak for you to notice. You can feel the force of gravity between you and Earth because Earth has a lot of mass. The force of gravity between the Sun and planets is also very large.,Earth has a lot of mass .,You can feel the force of gravity between you and Earth
100,The force of gravity between the Sun and planets is also very large. This is because the Sun and the planets are very large objects. Gravity is great enough to hold the planets to the Sun even though the distances between them are enormous.,the Sun and the planets are very large objects .,The force of gravity between the Sun and planets is also very large
0,"In fact, the word planet comes from a Greek word meaning wanderer. These objects were thought to be important, so they named them after gods from their mythology. The names for the planets Mercury, Venus, Mars, Jupiter, and Saturn came from the names of gods and a goddess.",These objects were thought to be important,they named them after gods from their mythology .
56,"In 2006, these scientists decided what a planet is. According to the new definition, a planet must: Orbit a star. Be big enough that its own gravity causes it to be round.",the new definition,a planet must : Orbit a star .
15,"Have cleared the area of its orbit of smaller objects. If the first three are true but not the fourth, then that object is a dwarf planet. We now call Pluto a dwarf planet.",the first three are true but not the fourth,then that object is a dwarf planet .
76,He suggested that the Sun is at the center of the universe. Copernicus developed his model because it better explained the motions of the planets. Figure 25.2 shows both the Earth-centered and Sun-centered models.,it better explained the motions of the planets .,Copernicus developed his model
80,"Each object in the sky was attached to one of these spheres. The object moved around Earth as that sphere rotated. These spheres contained the Moon, the Sun, and the five planets they recognized: Mercury, Venus, Mars, Jupiter, and Saturn.",that sphere rotated .,The object moved around Earth
0,"An outer sphere contained all the stars. The planets appear to move much faster than the stars, so the Greeks placed them closer to Earth. Ptolemy published this model of the solar system around 150 AD.",The planets appear to move much faster than the stars,the Greeks placed them closer to Earth .
102,"Viewed from Earth, Mars is red. This is due to large amounts of iron in the soil. The ancient Greeks and Romans named the planet Mars after the god of war.",large amounts of iron in the soil,"Viewed from Earth , Mars is red"
0,"This means that there is much lower pressure at the surface. Mars also has a weak greenhouse effect, so temperatures are only slightly higher than they would be if the planet did not have an atmosphere. Mars is the easiest planet to observe.",Mars also has a weak greenhouse effect,temperatures are only slightly higher than they would be if the planet did not have an atmosphere .
14,"This means that there is much lower pressure at the surface. Mars also has a weak greenhouse effect, so temperatures are only slightly higher than they would be if the planet did not have an atmosphere. Mars is the easiest planet to observe.",the planet did not have an atmosphere .,temperatures are only slightly higher than they would be
5,"Mars is the easiest planet to observe. As a result, it has been studied more than any other planet besides Earth. People can stand on Earth and observe the planet through a telescope.",Mars is the easiest planet to observe,it has been studied more than any other planet besides Earth .
75,"It takes Venus only 225 days to orbit the Sun. Because the orbit of Venus is inside Earths orbit, Venus always appears close to the Sun. You can see Venus rising early in the morning, just before the Sun rises.",the orbit of Venus is inside Earths orbit,Venus always appears close to the Sun .
17,"You can see Venus rising early in the morning, just before the Sun rises. For this reason, Venus is sometimes called the morning star. When it sets in the evening, just after the Sun sets, it may be called the evening star.","You can see Venus rising early in the morning , just before the Sun rises",Venus is sometimes called the morning star .
78,"When it sets in the evening, just after the Sun sets, it may be called the evening star. Since planets only reflect the Suns light, Venus should not be called a star at all! Venus is very bright because its clouds reflect sunlight very well.",planets only reflect the Suns light,Venus should not be called a star at all !
76,"Since planets only reflect the Suns light, Venus should not be called a star at all! Venus is very bright because its clouds reflect sunlight very well. Venus is the brightest object in the sky besides the Sun and the Moon.",its clouds reflect sunlight very well .,Venus is very bright
75,"Earth is the third planet out from the Sun, shown in Figure 25.14. Because it is our planet, we know a lot more about Earth than we do about any other planet. What are main features of Earth?",it is our planet,we know a lot more about Earth than we do about any other planet .
0," Mercury is very close to the Sun, so it can get very hot. Mercury also has virtually no atmosphere.",Mercury is very close to the Sun,it can get very hot .
80,"Mercury also has virtually no atmosphere. As the planet rotates very slowly, the temperature varies tremendously. In direct sunlight, the surface can be as hot as 427C (801F).","the planet rotates very slowly , the temperature varies tremendously .",Mercury also has virtually no atmosphere .
80,"The planet is also closest to the Sun and appears in Figure 25.7. As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years.","Figure 25.8 shows , the surface of Mercury is covered with craters , like Earths Moon .",The planet is also closest to the Sun and appears in Figure 25.7 .
82,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",The presence of impact craters that are so old,Mercury hasnt changed much geologically for billions of years .
0,"With only a trace of an atmosphere, it has no weather to wear down the ancient craters. Because Mercury is so close to the Sun, it is difficult to observe from Earth, even with a telescope. The Mariner 10 spacecraft did a flyby of Mercury in 19741975, which was the best data from the planet for decades.",Because Mercury is,"close to the Sun , it is difficult to observe from Earth , even with a telescope ."
76,Mercury is named for the Roman messenger god. Mercury was a messenger because he could run extremely fast. The Greeks gave the planet this name because Mercury moves very quickly in its orbit around the Sun.,he could run extremely fast .,Mercury was a messenger
76,Mercury was a messenger because he could run extremely fast. The Greeks gave the planet this name because Mercury moves very quickly in its orbit around the Sun. Mercury orbits the Sun in just 88 Earth days.,Mercury moves very quickly in its orbit around the Sun .,The Greeks gave the planet this name
1,"Mercury rotates slowly on its axis, turning exactly three times for every two times it orbits the Sun. Therefore, each day on Mercury is 58 Earth days long. ","Mercury rotates slowly on its axis , turning exactly three times for every two times it orbits the Sun",each day on Mercury is 58 Earth days long .
100,Water on Mars cant be a liquid. This is because the pressure of the atmosphere is too low. The planet does have a lot of water; it is in the form of ice.,the pressure of the atmosphere is too low .,Water on Mars cant be a liquid
15,"The Mars rover collected round clumps of crystals that, on Earth, usually form in water. If there was liquid water on Mars, life might have existed there in the past. ",there was liquid water on Mars,life might have existed there in the past .
76,"You can see the clouds in pictures of Venus, such as Figure 25.11. We make maps of the surface using radar, because the thick clouds wont allow us to take photographs of the surface of Venus. Figure 25.12 shows the topographical features of Venus.",the thick clouds wont allow us to take photographs of the surface of Venus .,We make maps of the surface using radar
82,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",The atmosphere of Venus is so thick,the pressure on the surface of Venus is very high .
135,"The thick atmosphere causes a strong greenhouse effect. As a result, Venus is the hottest planet. Even though it is farther from the Sun, Venus is much hotter even than Mercury.",thick atmosphere causes a strong greenhouse effect . As,the hottest planet
0,"The planet has 318 times the mass of Earth, and over 1,300 times Earths volume. So Jupiter is much less dense than Earth. Because Jupiter is so large, it reflects a lot of sunlight.","The planet has 318 times the mass of Earth , and over 1,300 times Earths volume",Jupiter is much less dense than Earth .
0,"So Jupiter is much less dense than Earth. Because Jupiter is so large, it reflects a lot of sunlight. When it is visible, it is the brightest object in the night sky besides the Moon and Venus.",Because Jupiter is,"large , it reflects a lot of sunlight ."
78," Since Jupiter is a gas giant, could a spacecraft land on its surface? The answer is no.",Jupiter is a gas giant,could a spacecraft land on its surface ?
0,Clouds in the storm rotate counterclockwise. They make one complete turn every six days or so. The Great Red Spot has been on Jupiter for at least 300 years.,They make one complete turn every six days or,. The Great Red Spot has been on Jupiter for at least 300 years
80,"Jupiter has lots of moons. As of 2011, we have discovered over 60 natural satellites of Jupiter. Four are big enough and bright enough to be seen from Earth using a pair of binoculars.","of 2011 , we have discovered over 60 natural satellites of Jupiter .",Jupiter has lots of moons .
82,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,Jupiters tidal forces are so great,they stretch and squash its moon .
